Freq,Disaster Number,State,Year,Year 1,Fishery,Management Zone,Area/Season Affected,Comm/Rec/Tribal,State/Federal,Requester(s),Request Date,Request Year,Request Year - Disaster Year,Request letter,Secretary of Commerce Determination,State-years,Determination Date,Determination Lag (d),Determination Year,Press Release:,Formal Federally-stated Cause,Cause of Disaster,Cause simplified,Cause more simplified,Determination Authority:,Determination Letter:,Funding Authority,Appropriation Amount,US BLS correction factor (Jan - Oct 2019),Appropriation amount (2019 USD),Notes,Total est. damages,,
1,61,New Jersey and New York,2012,2012,All Fisheries,Greater Atlantic Region,,Commercial and Recreational,Federal and State,Gov. Chris Christie (NJ),11/13/12,2012,0,"Request Letter (PDF, 2 pages)",Approved,2,11/16/12,3,2012,"Press Release (PDF, 2 pages)",Natural causes (hurricane),Natural Causes (Hurricane Sandy),Natural Causes (Hurricane),Environmental Anomalies,"MSA 315, IFA 308(d)","New York (PDF, 1 page), New Jersey (PDF, 1 page)","PL 113-2 (PDF, 2 pages), PL 113-76 (PDF, 639 pages)","$7,846,160",1.14,"$8,944,622",,,,
1,60,Alaska,2010-2012,2010,Sockeye Salmon,Alaska Region,Nelson Lagoon,Commercial,Federal,"Mayor Stanley Mack, Aleutians East Borough (AK)",9/7/12,2012,,"Request Letter (PDF, 3 pages)",Denied,,9/8/15,1096,,?,,Natural Causes (low returns),Natural and Human Causes (Low returns),Human Causes and Environmental Anomalies,"MSA 312(a), IFA 308(b)","Determination Letter (PDF, 1 page)",N/A,,,,No cause and no press release?,,,
1,59,Florida,2012,2012,Oyster,Southeast Region,FL Panhandle and Apalachicola Bay,Commercial,State,Gov. Rick Scott (FL),"9/6/2012, 11/7/2012",2012,0,"9/6/2012 (PDF, 16 pages), 11/7/2012 (PDF, 2 pages) ",Approved,1,8/12/13,340,2013,"Press Release (PDF, 1 page)",Natural causes (drought),Natural Cause (Drought),Natural Causes (Drought),Environmental Anomalies,"MSA 312(a), IFA 308(b)","Determination Letter (PDF, 1 page)","Funding Authority (PDF, 639 pages)","$6,316,533",1.12,"$7,074,517",,,,
1,58,Alaska,2011-2012,2011,Chinook Salmon,Alaska Region,"Yukon River, Kuskokwim River, and Cook Inlet",Tribal,Tribal,"Gov. Sean Parnell (AK); Julie Kitka, President of the Alaska Federation of Natives","7/11/2012, 7/14/2012, 8/16/2012",2012,1,"AFN (PDF, 2 pages), Alaska - July (PDF, 7 pages), Alaska - August (PDF, 3 pages)",Approved,2,9/12/12,#VALUE!,2012,?,Natural causes (unknown),Natural Disaster of Unknown Causes,Natural Causes (Unknown),Environmental Anomalies,"MSA 312(a), IFA 308(b)","Determination Letter (PDF, 2 pages)","Funding Authority (PDF, 639 pages)","$20,797,524",1.14,"$23,709,177",No press release and cause unknown?,,,
1,57,Texas,2011,2011,Oyster,Southeast Region,Texas,Commercial,State,Gov. Rick Perry (TX),3/6/12,2012,,"Request Letter (PDF, 4 pages)",Denied,,10/5/12,213,,?,Natural causes (HAB),Natural Cause (Red Tide),Natural Causes (HAB event),Environmental Anomalies,"MSA 312(a), IFA 308(b)(d)","Determination Letter (PDF, 1 page)",N/A,,,,No press release?,,,
1,56,"MA, ME, NH, CT, RI, and NY",2011-2013,2011,Groundfish (multispecies),Greater Atlantic Region,New England (all),Commercial,Federal,"Govs. Deval L. Patrick (MA), Paul R. LePage (ME), John H. Lynch (NH), Dannel P. Malloy (CT), and Lincoln D. Chafee (RI)","11/15/2011, 11/21/2011, 1/13/2012, 8/23/2012, 8/24/2012",2012,1,"Maine (PDF, 3 pages), Massachusetts (PDF, 6 pages), New Hampshire (PDF, 3 pages), Connecticut (PDF, 2 pages), Rhode Island (PDF, 2 pages)",Approved,18,9/13/12,#VALUE!,2012,?,Natural causes (unknown),Natural Disaster of Unknown Causes,Human Causes (Overfishing and subsequent regulations),Human Causes,"MSA 312(a), IFA 308(b)","Maine (PDF, 1 page), Massachusetts (PDF, 1 page), New Hampshire (PDF, 1 page), Connecticut (PDF, 1 page), Rhode Island (PDF, 1 page), New York (PDF, 1 page)","Funding Authority (PDF, 639 pages)","$32,847,955",1.14,"$37,446,669",No press release?,,,
1,55,Mississippi,2011,2011,All Fisheries,Southeast Region,Mississippi River,Commercial,State,Gov. Haley Barbour (MS) (Dewey Phillip Bryant),6/22/11,2011,0,"Request Letter (PDF, 1 page)",Approved,1,9/12/12,448,2012,?,Natural causes (flooding),Natural Cause (Flooding),Natural Causes (Flooding),Environmental Anomalies,"MSA 312(a), IFA 308(b)","Determination Letter (PDF, 1 page)","Funding Authority (PDF, 639 pages)","$10,941,828",1.14,"$12,473,684",No press release?,,,
1,54,Louisiana,2011,2011,All commercial fisheries,Southeast Region,Mississippi River,Commercial,State,Gov. Bobby Jindal (LA),5/13/11,2011,,"Request Letter (PDF, 2 pages)",Withdrawn,,4/9/12,332,,?,Natural causes (flooding),Natural Cause (Flooding),Natural Causes (Flooding),Environmental Anomalies,N/A,"Determination Letter (PDF, 1 page)",N/A,,,,"No press release, no determination authority?",,,
1,53,Oregon,2010 (continuation),2010,Salmon,West Coast Region,South of Cape Falcon,Commercial,Federal,Gov. Theodore R. Kulongoski (OR),10/26/10,2010,0,"Request Letter (PDF, 2 pages)",Approved,1,5/27/11,213,2011,?,Natural causes (unknown),Natural Disaster of Unknown Causes (low numbers of Fall Chinook returning to Sacramento River),Natural and Human Causes (Low returns),Human Causes and Environmental Anomalies,"MSA 312(a), IFA 308(d)","Determination Letter (PDF, 1 page)","Funding Authority (PDF, 629 pages)","$170,000,000 (cont. from 2008-2009)",,,No press release?,,,
1,52,Virginia,2010,2010,Oyster (GULF??),Greater Atlantic Region,Louisiana???,Commercial,State,Gov. Robert F. McDonnell (VA),9/1/10,2010,,"Request Letter (PDF, 2 pages)",Withdrawn,,4/18/12,595,,?,Human causes (oil spill),Human Cause (Deepwater Horizon Oil Spill),Human Causes (Deepwater Horizon Oil Spill),Human Causes,N/A,"Determination Letter (PDF, 1 page)",N/A,,,,"The Governor of Virginia asked for $30.1M for oyster fishery impacts in Louisiana?? No press release, no determination authority?",,,
1,51,American Samoa,2009,2009,Bottomfish & Pelagic Longline,Pacific Island Region,,Commercial,Federal,Gov. Togolia T.A. Tulafono (American Samoa) (Lt. Gov. Faoa A. Sunia),8/15/10,2010,1,"Request Letter (PDF, 3 pages)",Partially Approved,1,1/26/12,529,2012,?,Natural causes (tsunami),Natural Cause (Tsunami),Natural Causes (Tsunami),Environmental Anomalies,"MSA 312(a), IFA 308(b), IFA 308(d)","Determination Letter (PDF, 2 pages)","Funding Authority (PDF, 639 pages)","$1,000,000",1.14,"$1,140,000","Bottomfish (Approved), Pelagic Longline (Denied)",$5M requested,,
1,50,California,2010 (continuation),2010,Salmon,West Coast Region,Sacramento River Fall Chinook,Commercial,Federal,Gov. Arnold Schwarzenegger (CA),6/8/10,2010,0,"Request Letter (PDF, 2 pages)",Approved,1,9/2/10,86,2010,"Press Release (PDF, 1 page)",Natural causes (unknown),Natural Disaster of Unknown Causes (low numbers of Fall Chinook returning to Sacramento River),Natural and Human Causes (Low returns),Human Causes and Environmental Anomalies,"MSA 312(a), IFA 308(d)","Determination Letter (PDF, 2 pages)","Funding Authority (PDF, 629 pages)","$170,000,000 (cont. from 2008-2009)",,,,,,
1,49,"LA, MS, AL, and FL",2010,2010,All Fisheries,Southeast Region,Gulf of Mexico,Commercial,Federal,Govs. Bobby Jindal (LA) and Haley Barbour (MS),"4/29/2010, 4/30/2010",2010,0,"Louisiana (PDF, 2 pages), Mississippi (PDF, 1 page)",Approved,4,"5/25/2010, 6/3/2010",#VALUE!,2010,"Florida (PDF, 2 pages), Gulf of Mexico (PDF, 2 pages)",Human cause (oil spill),Human Cause (Deepwater Horizon Oil Spill),Human Causes (Deepwater Horizon Oil Spill),Human Causes,MSA 312(a),"Mississippi (PDF, 1 page), Louisiana (PDF, 1 page), Florida, (PDF, 1 page), Alabama (PDF, 1 page)","Funding Authority (PDF, 42 pages)","$26,000,000",1.19,"$30,940,000",,,,
1,48,Alaska,2009 (continuation),2009,Chinook and Chum Salmon,Alaska Region,Norton Sound and Port Clarence Districts,Commercial,Federal,"Loretta Bullard, President Kawerak Inc. (on behalf of Bering Strait Region tribes); Art Ivanoff, Chairman, Southern Norton Sound Fish and Game Advisory Committee; and Nelson Angapak, Senior VP, AK Federation of Natives","3/31/2010, 03/07/2011, 03/24/2011",2010,,"Kawerak (PDF, 4 pages), AFN (PDF, 10 pages), SNSAC (PDF, 2 pages)",Denied,,1/4/12,#VALUE!,,?,,Natural Disaster of Unknown Causes (low numbers of Fall Chinook returning to Sacramento River),Natural and Human Causes (Low returns),Human Causes and Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 3 pages)",N/A,,,,No press release?,,,
1,47,Washington,2002-2009,2002,Sockeye Salmon,West Coast Region,Fraser River,Commercial,Tribal,"Henry Cagey, Chairman, Lummi Nation (Chris Colte)",12/14/09,2009,7,"Request Letter (PDF, 2 pages)",Approved,8,5/27/11,529,2011,?,Natural causes (unknown),Natural Disaster of Unknown Causes (low numbers of Sockeye returns),Natural and Human Causes (Low returns),Human Causes and Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)",N/A,"$2,000,000",1.17,"$2,340,000",No press release?,,,
1,46,Maine,2009,2009,Shellfish,Greater Atlantic Region,,Commercial,Federal,Gov. John Baldacci (ME),10/5/09,2009,0,"Request Letter (PDF, 3 pages)",Approved,1,12/22/10,443,2010,"Press Release (PDF, 1 page)",Natural causes (HAB),Natural Causes (Harmful Algal Blooms),Natural Causes (HAB event),Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page) ",?,,1.19,,"requested $56.0M for economic impact, ""with"" $29.9M for labor income",$56M,,
1,45,Alaska,2009,2009,Chinook Salmon,Alaska Region,Yukon River,Commercial,Federal,Gov. Sean Parnell (AK),8/7/09,2009,0,"Request Letter (PDF, 15 pages)",Approved,1,1/15/10,161,2010,"Press Release (PDF, 2 pages)",Natural causes (unknown),Natural Causes (unfavorable temp/food led to low Chinook returns),Natural and Human Causes (Low returns),Human Causes and Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 2 pages)","Funding Authority (PDF, 42 pages)","$5,000,000",1.19,"$5,950,000",,,,
1,44,Florida,2009,2009,Reef Fish Longline,Southeast Region,Gulf of Mexico,Commercial,State,Gov. Charlie Crist (FL) (Rick Scott),5/6/09,2009,,"Request Letter (PDF, 1 page)",Denied,,4/7/11,701,,?,,Bycatch Reduction (Effects of May 2009 emergency rule to close the fishery to reduce incidental sea turtle take),Human Causes (Bycatch reduction),Human Causes,"MSA 312(a), IFA 308(b)","Determination Letter (PDF, 1 page)",N/A,,,,No press release?,,,
1,43,"CA, OR",2009 (continuation),2009,Salmon,West Coast Region,,Commercial,Federal,Govs. Arnold Schwarzenegger (CA) and Theodore R. Kulongoski (OR),4/21/09,2009,0,?,Approved,2,4/30/09,9,2009,"Press Release (PDF, 2 pages)",Natural causes (poor ocean conditions),Natural Causes (Poor ocean conditions),Natural and Human Causes (Low returns),Human Causes and Environmental Anomalies,"MSA 312(a), IFA 308(d)","Determination Letter (PDF, 2 pages)","Funding Authority (PDF, 629 pages)",,1.22,,No request letter?,,,
1,42,New York,2008,2008,Hard Clams,Greater Atlantic Region,Long Island - Great South Bay,Commercial,State,Gov. David A. Paterson (NY) (Andrew M. Cuomo),10/3/08,2008,,"Request Letter (PDF, 2 pages)",Denied,,4/6/11,915,,?,,Natural Causes (Harmful Algal Blooms),Natural Causes (HAB event),Environmental Anomalies,MSA 312(a) IFA 308(b),"Determination Letter (PDF, 1 page)",N/A,,,,requested $3M ($1M for research + $2M for restoration),,,
1,41,Maine,2008,2008,Groundfish (multispecies),Greater Atlantic Region,,Commercial,Federal,Gov. John E. Baldacci (ME) (Paul LaPage),9/26/08,2008,,"Request Letter (PDF, 2 pages)",Denied,,5/9/11,955,,?,,Overfishing and subsequent strict regulations impacting fishery,Human Causes (Overfishing and subsequent regulations),Human Causes,MSA 312(a),"Determination Letter (PDF, 1 page)",N/A,,,,No press release?,,,
1,40,"MA, ME, NH",2008,2008,Shellfish,Greater Atlantic Region,New England,Commercial,State,"Govs. Deval L. Patrick (MA), John E. Baldacci (ME), and John H. Lynch (NH)",9/4/08,2008,0,"Request Letter (PDF, 2 pages)",Approved,3,11/3/08,60,2008,?,Natural causes (HAB),Natural Cause (Harmful algae bloom),Natural Causes (HAB event),Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 3 pages)","Funding Authority (PDF, 1 page)","$5,000,000",1.22,"$6,100,000",No press release?,,,
1,39,Louisiana,2008,2008,All Fisheries,Southeast Region,Gulf of Mexico,Commercial,Federal,Gov. Bobby Jindal (LA),9/3/08,2008,0,"Request Letter (PDF, 1 page)",Approved,1,9/16/08,13,2008,?,Natural causes (hurricane),Natural Cause (Hurricanes Gustav and Ike),Natural Causes (Hurricane),Environmental Anomalies,IFA 308(d),"Determination Letter (PDF, 1 page)","Funding Authority (PDF, 1 page)","$47,000,000",1.22,"$57,340,000",No press release?,,,
1,38,Washington,2007 (continuation),2007,Sockeye Salmon,West Coast Region,Fraser River,Commercial,Tribal,"Gov. Christine O. Gregoire (WA); Evelyn D. Jefferson, Chairwoman, Lummi Nation;  Micah McCarty, Chairman, Makah Tribal Council; M. Brian Cladoosby, Chairman, Swinomish Tribal Community;  Frances G. Charles, Chairwoman, Lower Elwha Klallam Tribe; Mel Sheldon, Chairman, The Tulalip Tribe","10/16/2007, 4/29/2008, 5/6/2008, 5/6/2008, 5/14/2008, 9/4/2008",2007,0,"Lummi (PDF, 6 pages), Makah (PDF, 2 pages), Elwha (PDF, 2 pages), Swinomish (PDF, 2 pages), Tulalip (PDF, 2 pages), Washington (PDF, 1 page) ",Approved,1,11/13/08,#VALUE!,2008,?,Natural causes (unknown),Natural Disaster of Unknown Causes (low numbers of Sockeye returns),Natural and Human Causes (Low returns),Human Causes and Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 6 pages)","Funding Authority (PDF, 1 page)","$2,000,000",1.22,"$2,440,000",No press release?,,,
1,37,"VA, MD",2008,2008,Blue Crab,Greater Atlantic Region,Chesapeake Bay,Commercial,State,Govs. Martin O'Malley (MD) and Timothy M. Kaine (VA),5/2/08,2008,0,"Maryland (PDF, 2 pages), Virginia (PDF, 3 pages)",Approved,2,9/22/08,143,2008,"Press Release (PDF, 1 page)",Natural causes (unknown),Natural Disaster of Unknown Causes,"Human Causes (Overfishing, poor water quality, habitat loss)",Human Causes and Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 2 pages)","Funding Authority: PL 110-329 (PDF, 1 page) , PL 111-8 (PDF, 5 pages)","$30,000,000",1.22,"$36,600,000",,,,
1,36,"CA, OR, WA",2008,2008,Salmon,West Coast Region,,Commercial and Tribal,Federal,"Govs. Arnold Schwarzenegger (CA), Theodore R. Kulongoski (OR), and Christine O. Gregoire (WA); Micah McCarty, Chairman, Makah Tribal Council","3/14/2008, 4/29/2008",2008,0,"CA/OR/WA (PDF, 2 pages), Makah (PDF, 3 pages)",Approved,3,4/30/08,#VALUE!,2008,"Press Release (PDF, 1 page)",Natural causes (poor ocean conditions),Natural Causes (Poor Ocean Conditions),Natural and Human Causes (Low returns),Human Causes and Environmental Anomalies,"MSA 312(a), IFA 308(b)","Determination Letter: California (PDF, 3 pages), Oregon (PDF, 3 pages), Washington (PDF, 3 pages)","Funding Authority (PDF, 1 page)","$170,000,000",1.22,"$207,400,000",,,,
1,35,Florida,2007-2008,2007,Shark,Southeast Region,,Commercial,Federal,Gov. Charlie Crist (FL) (Rick Scott),2/29/08,2008,,"Request Letter (PDF, 2 pages)",Denied,,4/7/11,1133,,?,,Overfishing and subsequent strict regulations impacting fishery,Human Causes (Overfishing and subsequent regulations),Human Causes,MSA 312(a),"Determination Letter (PDF, 1 page)",N/A,,,,No press release?,,,
1,34,New Hampshire,2008,2008,Groundfish (multispecies),Greater Atlantic Region,,Commercial,Federal,Gov. John Lynch (NH),"10/10/2007, 2/27/2008",2008,,"07 (PDF, 2 pages), '08 (PDF, 1 page) ",Denied,,8/4/08,#VALUE!,,?,,Overfishing and subsequent strict regulations impacting fishery,Human Causes (Overfishing and subsequent regulations),Human Causes,"MSA 312(a), MSA 315","Determination Letter (PDF, 1 page)",N/A,,,,No press release?,,,
1,33,Alaska,2007-2008 (continuation),2007,Snow Crab,Alaska Region,Bering Sea,Commercial,Federal,"Simeon Swetzof, Mayor, St. Paul (AK); Linda Snow, City Manager, St. Paul (AK)","6/7/2007, 7/7/2009",2007,0,"07 (PDF, 8 pages), '09 (PDF, 12 pages)",Approved,2,5/27/11,1450,2011,?,Natural causes (unknown),Natural Disaster of Unknown Causes (poor environmental conditions caused low recruitment),Human Causes (Overfishing and subsequent regulations),Human Causes,MSA 312(a),"Determination Letter (PDF, 1 page)",?,"$10,000,000",1.17,"$11,700,000",No press release or funding authority letter?,,,
1,32,"MA, ME, RI",2007,2007,Groundfish (multispecies),Greater Atlantic Region,,Commercial,Federal,"Govs. Devel Patrick (MA),  John E. Baldacci (ME), and Donald Carcieri (RI)","2/21/2007, 4/20/2007, 6/4/2007",2007,,"Request Letter: Maine (PDF, 2 pages), Massachusettes (PDF, 2 pages), Rhode Island (PDF, 3 pages)",Denied,,10/22/07,#VALUE!,,?,,Overfishing and subsequent strict regulations impacting fishery,Human Causes (Overfishing and subsequent regulations),Human Causes,"MSA 312(a), MSA 315","Determination Letter (PDF, 3 pages)",N/A,,,,No press release?,,,
1,31,Alaska,2004-2006 (continuation),2004,Snow Crab,Alaska Region,Bering Sea,Commercial,Federal,"Simeon Swetzof, Mayor, St. Paul (AK); Linda Snow, City Manager, St. Paul (AK)",10/23/06,2006,2,"Request Letter (PDF, 15 pages)",Approved,3,7/19/07,269,2007,?,Natural causes (unknown),Natural Disaster of Unknown Causes (poor environmental conditions caused low recruitment),Human Causes (Overfishing and subsequent regulations),Human Causes,MSA 312(a),"Determination Letter (PDF, 1 page)",?,"$10,000,000",1.27,"$12,700,000",No press release or funding authority letter?,,,
1,30,"CA, OR",2005-2006,2005,Salmon,West Coast Region,Klamath River Basin,Commercial,Federal,"Govs. Arnold Schwarzenegger (CA), and Theodore Kulongoski (OR); Michael Delbar, Chairman, Mendocino Co. (CA)","5/10/2005, 4/5/2006",2005,0,"Mendocino County (PDF, 2 pages), Washington (PDF, 2 pages)",Approved,4,"7/6/2006, 8/10/2006",#VALUE!,2006,"Press Release (PDF, 2 pages)","Natural causes (drought, poor ocean conditions)","Natural Causes (Drought, poor ocean conditions)",Natural Causes (Drought),Environmental Anomalies,IFA 308(d),"Determination Letter (PDF, 1 page)","Funding Authority (PDF, 1 page)","$60,400,000",1.30,"$78,520,000",,,,
1,29,"LA, MS, AL, and FL",2005,2005,All Fisheries,Southeast Region,,Commercial and Recreational,Federal,"Govs. Kathleen Babineaux Blanco (LA), Bob Riley (AL), Haley Barbour (MS), and Jeb Bush (FL)",12/9/05,2005,0,"Request Letter (PDF, 2 pages)",Approved,4,"9/8/2005, 10/3/2005",#VALUE!,2005,"Press Release (PDF, 2 pages)",Natural causes (hurricane),Natural Cause (Hurricanes Katrina and Rita),Natural Causes (Hurricane),Environmental Anomalies,"IFA 308(d), MSA 312(a)","Determination Letter (PDF, 4 pages)","Funding Authority: PL 110-28 (PDF, 1 page), PL 109-234 (PDF, 5 pages)","$213,000,000",1.35,"$287,550,000",,"988,000,000",,
1,28,Rhode Island,2005,2005,Shellfish,Greater Atlantic Region,,Commercial,State,Gov. Donald L. Carcieri (RI),11/16/05,2005,,"Request Letter (PDF, 2 page)",Undetermined,,N/A,#VALUE!,,N/A,,"Pollution: Record rainfall led to fishery closure due to polluted sewage discharge, wastewater treatment bypasses, and stormwater runoff",Human Causes (Pollution after heavy rains),Human Causes,N/A,N/A,N/A,,,,,,,
1,27,Maine,2005,2005,Shellfish,Greater Atlantic Region,,Commercial,State,Gov. John Baldacci (ME),6/14/05,2005,0,"Request Letter (PDF, 2 pages)",Approved,1,6/22/05,8,2005,"Press Release (PDF, 2 pages)",Natural causes (HAB),Natural Cause (Harmful algae bloom),Natural Causes (HAB event),Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)","Funding Authority (PDF, 5 pages)","$2,000,000",1.35,"$2,700,000",,,Jin et al. 2008,
1,26,Massachusetts,2005,2005,Shellfish,Greater Atlantic Region,,Commercial,State,Gov. Mitt Romney (MA),6/10/05,2005,0,"Request Letter (PDF, 2 pages)",Approved,1,6/16/05,6,2005,"Press Release (PDF, 2 pages)",Natural causes (HAB),Natural Cause (Harmful algae bloom),Natural Causes (HAB event),Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)","Funding Authority (PDF, 5 pages)","$2,000,000",1.35,"$2,700,000",,,Jin et al. 2008,
1,25,Alaska,2003 (continuation),2003,Snow Crab,Alaska Region,Bering Sea,Commercial,Federal,"Gov. Tony Knowles (AK); Simeon Swetzof, Mayor, St. Paul (AK); John R. Merulief, City Manager, St. Paul (AK)",9/16/03,2003,0,"Request Letter (PDF, 11 pages)",Approved,1,2/22/05,525,2005,?,Natural causes (unknown),Natural Disaster of Unknown Causes (poor environmental conditions caused low recruitment),Human Causes (Overfishing and subsequent regulations),Human Causes,MSA 312(a),"Determination Letter (PDF, 1 page)",?,"$10,000,000",1.35,"$13,500,000",No press release or funding authority letter?,,,
1,24,Guam and Northern Mariana Islands,2003,2003,All Fisheries,Pacific Island Region,,"Commercial, Recreational, Subsistence, Other Fishing Industry",Federal,"Govs. Felix P. Carnacho (Guam), and Juan N. Babauta (N. Mariana Islands)","3/17/2003, 3/31/2003",2003,,"Guam (PDF, 3 pages), CNMI (PDF, 7 page)",Denied,,9/7/06,#VALUE!,,?,,Natural Causes (Super Typhoon Pongsona),Natural Causes (Typhoon),Environmental Anomalies,"MSA 312(a), IFA 308(b), IFA 308(d)","Determination Letter (PDF, 2 pages)",N/A,,,,No press release?,,,
1,23,Georgia,2003,2003,Blue Crab,Southeast Region,,Commercial,State,Gov. Roy Barnes (GA),12/11/02,2003,0,"Request Letter (PDF, 2 pages)",Approved,1,5/14/03,154,2003,?,Natural causes (unknown),"Natural Causes (mortality due to prolonged drought that caused parasitic dinoflagellate bloom, leading to lethal disease)","Natural and Human Causes (Drought, Parasite, & Overfishing)",Human Causes and Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)","Funding Authority (PDF, 544 pages)","$5,000,000",1.42,"$7,100,000",No press release?,,,
1,22,Alaska,2002 (continuation),2002,Snow Crab,Alaska Region,Bering Sea,Commercial,Federal,"Gov. Tony Knowles (AK); Simeon Swetzof, Mayor, St. Paul (AK); John R. Merulief, City Manager, St. Paul (AK)",5/2/02,2002,0,"Request Letter:  (PDF, 11 pages)",Approved,1,"11/13/2002, 11/17/2003",#VALUE!,2003,?,Natural causes (unknown),Natural Disaster of Unknown Causes (poor environmental conditions caused low recruitment),Human Causes (Overfishing and subsequent regulations),Human Causes,MSA 312(a),"Determination Letter (PDF, 1 page)",?,"$10,000,000",1.42,"$14,200,000",No press release?,,,
1,21,Alaska,2001 (continuation),2001,Snow Crab,Alaska Region,Bering Sea,Commercial,Federal,"Gov. Tony Knowles (AK); Simeon Swetzof, Mayor, St. Paul (AK); John R. Merulief, City Manager, St. Paul (AK)",6/4/01,2001,0,"Request Letter (PDF, 11 pages)",Approved,1,11/29/01,178,2001,?,Natural causes (unknown),Natural Disaster of Unknown Causes (poor environmental conditions caused low recruitment),Human Causes (Overfishing and subsequent regulations),Human Causes,MSA 312(a),"Determination Letter (PDF, 4 pages)",?,"$10,000,000",1.47,"$14,700,000",No press release?,,,
1,20,Virginia,2000,2000,Spiny Dogfish,Greater Atlantic Region,,Commercial,Federal,Gov. James S. Gilmore (VA),12/11/00,2000,,?,Denied,,1/19/01,39,,?,,?,Unknown,Unknown,MSA 312(a),?,N/A,,,,No request letter?,,,
1,19,Washington,1999-2001,1999,Sockeye Salmon,West Coast Region,Fraser River,Commercial,Federal,"Gov. Gary Locke (WA); Gordon Adams, Vice Chair, Lummi Nation","7/3/2000, 9/28/2001",2000,1,"Washington (PDF, 2 pages), Lummi (PDF, 18 pages)",Approved,3,"11/13/2002, 12/10/2002",#VALUE!,2002,?,Natural causes (unknown),Natural Disaster of Unknown Causes (low numbers of Sockeye returns),Natural and Human Causes (Low returns),Human Causes and Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 1 page)",?,,,,"No press release, funding authority, or amount?","$9M direct, and $36-63M total impact",,
1,18,Alaska,1997-2000 (continuation),1997,Salmon,Alaska Region,"Norton Sound (New), Yukon and Kuskokwim Rivers",Commercial,Federal,Gov. Tony Knowles (AK),7/28/00,2000,3,?,Approved,4,8/8/00,11,2000,"Press Release (PDF, 2 pages)",Natural causes (unknown),Natural Disaster of Unknown Causes (Continued low returns over time),Natural and Human Causes (Low returns),Human Causes and Environmental Anomalies,"MSA 312(a), IFA 308(b)","Determination Letter (PDF, 4 pages)","Funding Authority: PL 106-78 (PDF, 2 pages), PL 106-554 (PDF, 1 page)","$22,500,000",1.52,"$34,200,000",No press release?,,,
1,17,Alaska,2000,2000,Snow Crab,Alaska Region,Bering Sea,Commercial,Federal,"Gov. Tony Knowles (AK); Simeon Swetzof, Mayor, St. Paul (AK); John R. Merulief, City Manager, St. Paul (AK)","1/31/2000, 3/10/2000",2000,0,"Alaska (PDF, 3 pages), St. Paul (PDF, 8 pages)",Approved,1,5/16/00,#VALUE!,2000,"Press Release (PDF, 2 pages)",Natural causes (unknown),Natural Disaster of Unknown Causes (poor environmental conditions caused low recruitment),Human Causes (Overfishing and subsequent regulations),Human Causes,MSA 312(a),"Determination Letter (PDF, 5 pages)","Funding Authority (PDF, 5 pages)","$10,000,000",1.52,"$15,200,000",,,,
1,16,Hawaii,2000,2000,Pelagic Longline,Pacific Island Region,,Commercial,Federal,Gov. Benjamin J. Cayetano (HI),?,2000,,?,Denied,,2/27/00,#VALUE!,,?,,Bycatch Reduction (Effects of emergency rule reduce incidental sea turtle take),Human Causes (Bycatch reduction),Human Causes,MSA 312(a),"Determination Letter (PDF, 1 page)",N/A,,,,No request letter or press release?,,,
1,15,North Carolina,1999,1999,"Blue Crab, White Shrimp, Oyster, Scallop, Flounder, Snapper, and Grouper",Southeast Region,,Commercial,State,Gov. Jim Hunt (NC),?,,,?,Approved,1,9/22/99,#VALUE!,1999,"Press Release (PDF, 2 pages)",Natural causes (hurricane),"Natural Causes (Hurricanes Dennis, Floyd, and Irene)",Natural Causes (Hurricane),Environmental Anomalies,MSA 312(a),"Determination Letter (PDF, 3 pages)","Funding Authority (PDF, 5 pages)","$5,900,000",1.57,"$9,263,000",No request letter or press release?,,,
1,14,"NY, CT",1999,1999,American Lobster,Greater Atlantic Region,,Commercial,State,Govs. John G. Rowland (CT) and George E. Pataki (NY),"12/7/1999 (CT), 12/9/1999 (NY)",1999,0,?,Approved,2,1/26/00,#VALUE!,2000,?,Natural causes (Extensive lobster mortality),Natural Cause (Extensive lobster mortality),"Natural Causes (Warm anomaly, parasite infection)",Environmental Anomalies,MSA 312(a),?,"Funding Authority (PDF, 5 pages)","$13,900,000",1.52,"$21,128,000",No press release or determination letter?,,,
